子任务ID	父任务ID	序列	子任务组	禁止进入联机	显示状态	[领取条件]组合	[领取条件]1类型	[领取条件]1参数1	[领取条件]1参数2	[领取条件]1参数3	[领取条件]1参数4	[领取条件]1参数5	[领取条件]2类型	[领取条件]2参数1	[领取条件]2参数2	[领取条件]2参数3	[领取条件]2参数4	[领取条件]2参数5	[领取条件]3类型	[领取条件]3参数1	[领取条件]3参数2	[领取条件]3参数3	[领取条件]3参数4	[领取条件]3参数5	[领取条件]4类型	[领取条件]4参数1	[领取条件]4参数2	[领取条件]4参数3	[领取条件]4参数4	[领取条件]4参数5	[领取条件]5类型	[领取条件]5参数1	[领取条件]5参数2	[领取条件]5参数3	[领取条件]5参数4	[领取条件]5参数5	[领取条件]6类型	[领取条件]6参数1	[领取条件]6参数2	[领取条件]6参数3	[领取条件]6参数4	[领取条件]6参数5	[领取条件]7类型	[领取条件]7参数1	[领取条件]7参数2	[领取条件]7参数3	[领取条件]7参数4	[领取条件]7参数5	[领取条件]8类型	[领取条件]8参数1	[领取条件]8参数2	[领取条件]8参数3	[领取条件]8参数4	[领取条件]8参数5	[领取条件]9类型	[领取条件]9参数1	[领取条件]9参数2	[领取条件]9参数3	[领取条件]9参数4	[领取条件]9参数5	[领取条件]10类型	[领取条件]10参数1	[领取条件]10参数2	[领取条件]10参数3	[领取条件]10参数4	[领取条件]10参数5	[完成条件]组合	[完成条件]1类型	[完成条件]1参数1	[完成条件]1参数2	[完成条件]1复杂参数	[完成条件]1次数	[完成条件]2类型	[完成条件]2参数1	[完成条件]2参数2	[完成条件]2复杂参数	[完成条件]2次数	[完成条件]3类型	[完成条件]3参数1	[完成条件]3参数2	[完成条件]3复杂参数	[完成条件]3次数	[完成条件]4类型	[完成条件]4参数1	[完成条件]4参数2	[完成条件]4复杂参数	[完成条件]4次数	[完成条件]5类型	[完成条件]5参数1	[完成条件]5参数2	[完成条件]5复杂参数	[完成条件]5次数	[完成条件]6类型	[完成条件]6参数1	[完成条件]6参数2	[完成条件]6复杂参数	[完成条件]6次数	[失败条件]组合	[失败条件]1类型	[失败条件]1参数1	[失败条件]1参数2	[失败条件]1复杂参数	[失败条件]1次数	[失败条件]2类型	[失败条件]2参数1	[失败条件]2参数2	[失败条件]2复杂参数	[失败条件]2次数	[失败条件]3类型	[失败条件]3参数1	[失败条件]3参数2	[失败条件]3复杂参数	[失败条件]3次数	[失败条件]4类型	[失败条件]4参数1	[失败条件]4参数2	[失败条件]4复杂参数	[失败条件]4次数	[失败条件]5类型	[失败条件]5参数1	[失败条件]5参数2	[失败条件]5复杂参数	[失败条件]5次数	[失败条件]6类型	[失败条件]6参数1	[失败条件]6参数2	[失败条件]6复杂参数	[失败条件]6次数	[任务指引]类型	[任务指引]自动开启或关闭	[任务指引]参数1	[任务指引]参数2	[任务指引]参数3	[任务指引]参数4	[任务指引]参数5	[任务指引]场景ID	[任务指引]样式	[任务指引]显示层级	场景内指引	完成父任务	失败父任务	是存档点	[任务道具]ID	[任务道具]数量	[执行]1类型	[执行]1参数1	[执行]1参数2	[执行]1参数3	[执行]1参数4	[执行]1参数5	[执行]2类型	[执行]2参数1	[执行]2参数2	[执行]2参数3	[执行]2参数4	[执行]2参数5	[执行]3类型	[执行]3参数1	[执行]3参数2	[执行]3参数3	[执行]3参数4	[执行]3参数5	[执行]4类型	[执行]4参数1	[执行]4参数2	[执行]4参数3	[执行]4参数4	[执行]4参数5	[执行]5类型	[执行]5参数1	[执行]5参数2	[执行]5参数3	[执行]5参数4	[执行]5参数5	[失败执行]1类型	[失败执行]1参数1	[失败执行]1参数2	[失败执行]1参数3	[失败执行]1参数4	[失败执行]1参数5	[失败执行]2类型	[失败执行]2参数1	[失败执行]2参数2	[失败执行]2参数3	[失败执行]2参数4	[失败执行]2参数5	[失败执行]3类型	[失败执行]3参数1	[失败执行]3参数2	[失败执行]3参数3	[失败执行]3参数4	[失败执行]3参数5	[失败执行]4类型	[失败执行]4参数1	[失败执行]4参数2	[失败执行]4参数3	[失败执行]4参数4	[失败执行]4参数5	[失败执行]5类型	[失败执行]5参数1	[失败执行]5参数2	[失败执行]5参数3	[失败执行]5参数4	[失败执行]5参数5	[开始执行]1类型	[开始执行]1参数1	[开始执行]1参数2	[开始执行]1参数3	[开始执行]1参数4	[开始执行]1参数5	[开始执行]2类型	[开始执行]2参数1	[开始执行]2参数2	[开始执行]2参数3	[开始执行]2参数4	[开始执行]2参数5	[开始执行]3类型	[开始执行]3参数1	[开始执行]3参数2	[开始执行]3参数3	[开始执行]3参数4	[开始执行]3参数5	[开始执行]4类型	[开始执行]4参数1	[开始执行]4参数2	[开始执行]4参数3	[开始执行]4参数4	[开始执行]4参数5	[开始执行]5类型	[开始执行]5参数1	[开始执行]5参数2	[开始执行]5参数3	[开始执行]5参数4	[开始执行]5参数5	独占NPC	共享NPC	独占优先级	试用角色列表	加载技能组	独占情境ID	CoopPointID	刷新是否限定单机
7000910	70009	9					1	7000908	3																																																											2	7000905																																																												2	1	1423	SELECT_NPC_NONE				3	2	2				1																																																																																													1517,1599,1423,1600,1473,1425		1100					
7000911	70009	10					1	7000910	3																																																											2	7000906																																																												2	1	1425	SELECT_NPC_NONE				3	2	2				1																																																																																													1517,1599,1425,1600,1473,1423		1100					
7000912	70009	11					1	7000911	3																																																											2	7000907																																																												1	1	Q70009FoodLilly					3	4	2				1	100818	1																																																																																											1517,1599,1600,1473,1425,1423		1100					
7000913	70009	12					1	7000912	3																																																											17	1008																																																												1	1	QuestChurchMark					3	2	2				1																																																																																													1517,1599,1600,1473,1425,1423		1100					
7001001	70010	1			1		30	2003103	1																																																											4	7001001																																																																																																																																																																													
7001002	70010	20					1	7001015	3																																																											2	7001007																																																												2	1	1665	SELECT_NPC_NONE				3	2	2		1		1			29	100814																																																																																									1409,1523,1644		1100					
7001003	70010	2					1	7001001	3																																																											2	7001001																																																												2	1	1665	SELECT_NPC_NONE				3	1	2				1																																																																																																				
7001004	70010	3					1	7001003	3																																																											4	7001004																																																												1	1	Q70010Photo1Start					3	4	2				1	100815	1																																																													19	3	133002497,2																														1100			304		
7001005	70010	4					1	7001004	3																																																											4	7001005																																																												1	1	Q70010Photo2Start					3	4	2				1	100815	1																																																													19	3	133002498,2																														1100			304		
7001006	70010	95			1		1	99902	3																																																											24	7001006			2																																																																			1			1			23	7001007	1																																																																																															
7001007	70010	96			1		1	99902	3																																																											24	7001007			1																																																																			1			1																																																															19	3	133002497,2				19	3	133002498,2																													
7001008	70010	7					1	7001005	3																																																											2	7001002																																																												2	1	1665	SELECT_NPC_NONE				3	2	2				1																																																															19	3	133002497,1				19	3	133002498,1																													
7001009	70010	8					1	7001008	3																																																											2	7001003																																																												2	1	1409	SELECT_NPC_NONE				3	2	2				1																																																																																													1409		1100					
7001010	70010	9					1	7001009	3																																																											4	7001010																																																												1	1	Q70010ChurchArea	43				3	2	2				1																																																																																													1409,1523,1644		1100					
7001011	70010	10	2				1	7001010	3																																																											2	7001004																																																												2	1	1523	SELECT_NPC_NONE				3	2	2				1			23	7001013	1																																																																																								1523,1409,1644		1100					
7001012	70010	11	2				1	7001010	3																																																											2	7001005																																																												2	1	1644	SELECT_NPC_NONE				3	2	2				1			23	7001013	1																																																																																								1523,1409,1644		1100					
7001013	70010	12			1		1	7001010	3																																																											24	7001013			2																																																																			1			1			23	7001014	1																																																																																								1523,1409,1644		1100					
7001014	70010	13			1		1	7001010	3																																																											24	7001014			1																																																																			1			1																																																																																													1523,1409,1644		1100					
7001015	70010	14					1	7001014	3																																																											2	7001006																																																												2	1	1409	SELECT_NPC_NONE				3	2	2				1	100814	1	29	100815																																																																																									1409,1523,1644		1100					
7001101	70011	1					30	5024008	1																																																											2	7001101																																																												1	1	Q70011guild	75				3	2	2				1																																																															46	3	133003794																												11007,11008,1565		1100					
7001102	70011	2					1	7001101	3																																																											20			133003798																																																										1	1	Q7001101guild	30				3	2	2				1																																																															46	3	133003798																												11007,11008,1565		1100					
7001103	70011	3					1	7001102	3																																																											2	7001102																																																												2	1	11007	SELECT_NPC_NONE				3	2	2		1		1			47	133003794					47	133003798																																																																																			11007,11008,1565		1100					
7001201	70012	1					30	5024014	1																																																											2	7001201																																																												1	1	Q70012guild	75				3	2	2				1																																																															46	3	133001599																												11007,11008,1565		1100					
7001202	70012	2					1	7001201	3																																																										2	2	7001203				2	7001204																																																							2	1	11007	SELECT_NPC_NONE				3	2	2				1																																																															28	7002102																													11007,11008,1565		1100					
7001203	70012	3			1	1	1	7001201	3				20	7002102	700210201																																																					2	7001203																																																																							1		1			47	133001599																																																																																									11007,11008,1565		1100					
7001204	70012	4			1	1	1	7001201	3				20	7002102	700210202																																																					2	7001204																																																																									1			14	7001202																																																																																									11007,11008,1565		1100					
7001301	70013	1					30	5024011	1																																																											2	7001301																																																												1	1	Q70013guild	75				3	2	2				1																																																															46	3	133001600																												11007,11008,1565		1100					
7001302	70013	2					1	7001301	3																																																											20			133001605																																																										1	1	Q7001301guild	30				3	2	2				1																																																															46	3	133001605																												11007,11008,1565		1100					
7001303	70013	3					1	7001302	3																																																											2	7001302																																																												2	1	11008	SELECT_NPC_NONE				3	2	2		1		1			47	133001600					47	133001605																																																																																			11007,11008,1565		1100					
7001401	70014	1					30	5024017	1																																																											2	7001401																																																												1	1	Q70014guild	90				3	2	2				1																																																															46	3	133002491																												11007,11008,1565		1100					
7001402	70014	2					1	7001401	3																																																											20			133002494																																																										1	1	Q7001401guild	30				3	2	2				1																																																															46	3	133002494																												11007,11008,1565		1100					
7001403	70014	3					1	7001402	3																																																											2	7001402																																																												2	1	11008	SELECT_NPC_NONE				3	2	2		1		1			47	133002491					47	133002494																																																																																			11007,11008,1565		1100					
7001501	70015	1					30	5024007	1																																																											2	7001501																																																												1	1	Q70015guild	75				3	2	2				1																																																															46	3	133004474																												11007,11008,1565		1100					
7001502	70015	2					1	7001501	3																																																										2	2	7001503				2	7001504																																																							2	1	11008	SELECT_NPC_NONE				3	2	2				1																																																															28	7001202																													11007,11008,1565		1100					
7001503	70015	3			1	1	1	7001501	3				20	7001202	700120201																																																					2	7001503																																																																							1		1			47	133004474																																																																																									11007,11008,1565		1100					
7001504	70015	4			1	1	1	7001501	3				20	7001202	700120202																																																					2	7001504																																																																									1			14	7001502																																																																																									11007,11008,1565		1100					
7001601	70016	1					30	5024012	1																																																											2	7001601																																																												1	1	Q70016guild	70				3	2	2				1																																																															46	3	133002492																												11007,11008,1565		1100					
7001602	70016	2					1	7001601	3																																																											20			133002495																																																										1	1	Q7001601guild	30				3	2	2				1																																																															46	3	133002495																												11007,11008,1565		1100					
7001603	70016	3					1	7001602	3																																																											2	7001602																																																												2	1	11007	SELECT_NPC_NONE				3	2	2		1		1			47	133002492					47	133002495																																																																																			11007,11008,1565		1100					
7001701	70017	1					30	5024006	1																																																											2	7001701																																																												1	1	Q70018guild	50				3	2	2				1																																																															46	3	133104166																												11007,11008,1565		1100					
7001702	70017	2			1		1	99902	3																																																																																																																																					1																																																																																													11007,11008,1565		1100					
7001703	70017	3					1	7001701	3																																																											20			133104175																																																										1	1	Q7001701guild	30				3	2	2				1																																																															46	3	133104175																												11007,11008,1565		1100					
7001704	70017	4					1	7001703	3																																																											2	7001702																																																												2	1	11007	SELECT_NPC_NONE				3	2	2		1		1			47	133104166					47	133104175																																																																																			11007,11008,1565		1100					
7001801	70018	1					30	5024010	1																																																											2	7001801																																																												1	1	Q70017guild	55				3	2	2				1																																																															46	3	133102119																												11007,11008,1565		1100					
7001802	70018	2					1	7001801	3																																																										2	2	7001803				2	7001803																																																							2	1	11007	SELECT_NPC_NONE				3	2	2				1																																																															28	7001802																													11007,11008,1565		1100					
7001803	70018	3			1	1	1	7001801	3				20	7001802	700180201																																																					2	7001803																																																																							1		1			47	133102119																																																																																									11007,11008,1565		1100					
7001804	70018	4			1	1	1	7001801	3				20	7001802	700180202																																																					2	7001804																																																																									1			14	7001802																																																																																									11007,11008,1565		1100					
7001901	70019	1					30	5024009	1																																																											2	7001901																																																												1	1	Q70019guild	55				3	2	2				1																																																															46	3	133105353																												11007,11008,1565		1100					
7001902	70019	2					1	7001901	3																																																										2	2	7001903				2	7001904																																																							2	1	11008	SELECT_NPC_NONE				3	2	2				1																																																															28	7001502																													11007,11008,1565		1100					
7001903	70019	3			1	1	1	7001901	3				20	7001502	700150201																																																					2	7001903																																																																							1		1			47	133105353																																																																																									11007,11008,1565		1100					
7001904	70019	4			1	1	1	7001901	3				20	7001502	700150202																																																					2	7001904																																																																									1			14	7001902																																																																																									11007,11008,1565		1100					
7002001	70020	1					30	5024005	1																																																											2	7002001																																																												1	1	Q70020guild	55				3	2	2				1																																																															46	3	133104170																												11007,11008,1565		1100					
7002002	70020	2					1	7002001	3																																																											20			133104174																																																										1	1	Q7001901guild	30				3	2	2				1																																																															46	3	133104174																												11007,11008,1565		1100					
7002003	70020	3					1	7002002	3																																																											2	7002002																																																												2	1	11008	SELECT_NPC_NONE				3	2	2		1		1			47	133104170					47	133104174																																																																																			11007,11008,1565		1100					
7002101	70021	1					30	5024016	1																																																											2	7002101																																																												1	1	Q70021guild	55				3	2	2				1																																																															46	3	133103653																												11007,11008,1565		1100					
7002102	70021	2					1	7002101	3																																																										2	2	7002103				2	7002104																																																							2	1	11007	SELECT_NPC_NONE				3	2	2				1																																																															28	7002302																													11007,11008,1565		1100					
7002103	70021	3			1	1	1	7002101	3				20	7002302	700230201																																																					2	7002103																																																																							1		1			47	133103653																																																																																									11007,11008,1565		1100					
7002104	70021	4			1	1	1	7002101	3				20	7002302	700230202																																																					2	7002104																																																																									1			14	7002102																																																																																									11007,11008,1565		1100					
7002201	70022	1					30	5024015	1																																																											2	7002201																																																												1	1	Q70022guild	55				3	2	2				1																																																															46	3	133106406																												11007,11008,1565		1100					
7002202	70022	2					1	7002201	3																																																											20			133106407																																																										1	1	Q7002101guild	30				3	2	2				1																																																															46	3	133106407																												11007,11008,1565		1100					
7002203	70022	3					1	7002202	3																																																											2	7002202																																																												2	1	11008	SELECT_NPC_NONE				3	2	2		1		1			47	133106406					47	133106407																																																																																			11007,11008,1565		1100					
7002301	70023	1					30	5024013	1																																																											2	7002301																																																												1	1	Q70023guild	55				3	2	2				1																																																															46	3	133101261																												11007,11008,1565		1100					
7002302	70023	2					1	7002301	3																																																										2	2	7002303				2	7002304																																																							2	1	11008	SELECT_NPC_NONE				3	2	2				1																																																															28	7001902																													11007,11008,1565		1100					
7002303	70023	3			1	1	1	7002301	3				20	7001902	700190201																																																					2	7002303																																																																							1		1			47	133101261																																																																																									11007,11008,1565		1100					
7002304	70023	4			1	1	1	7002301	3				20	7001902	700190202																																																					2	7002304																																																																									1			14	7002302																																																																																									11007,11008,1565		1100					
7002401	70024	1					30	5024001	1																																																											2	7002401																																																												2	1	151201	SELECT_NPC_NONE				3	2	2				1																																																																																													1512		1100					
7002402	70024	2					1	7002401	3																																																											4	7002402																																																												1	1	Q7002402AILA	20				3	2	2				1																																																															46	3	133001927																												1565		1100					
7002403	70024	3					1	7002402	3																																																											7	133001927																																																												1	1	Q7002402AILA	20				3	2	2				1																																																															46	3	133001927																												1565		1100					
7002404	70024	4					1	7002403	3																																																											2	7002402																																																												2	1	156501	SELECT_NPC_NONE				3	2	2		1		1			47	133001927					43	7002404	1																																																																																		1565		1100					
7002501	70025	1				1	44	7002404	1				30	5024002	1																																																					2	7002501																																																												2	1	151201	SELECT_NPC_NONE				3	2	2				1																																																																																													1512		1100					
7002502	70025	2					1	7002501	3																																																											2	7002502																																																												2	1	156501	SELECT_NPC_NONE				1004	2	2		1		1																																																																																													1565		1100					
7002601	70026	1					30	50490101	1																																																											2	7002601																																																												2	1	3004					3	1	2				1																																																																																													3004		1100					1
7002602	70026	2					1	7002601	3																																																											4	7002602																																																												1	1	Q70026MonsterPos	35				3	2	2				1																																																																																																				1
7002603	70026	3					1	7002602	3																																																											2	7002602																																																												2	1	3004					3	2	2				1																																																																																													3004		1100					1
7002604	70026	4					1	7002603	3																																																											2	7002603																																																												2	1	30068					3	2	2		1		1																																																																																													30068		1100					1
7002701	70027	1					30	50490201	1																																																											2	7002701																																																												2	1	30068					3	1	2		1		1			29	101582					29	101593					29	101594					29	101595																																																																							30068		1100					1
7002702	70027	2					1	99902	3																																																											4	7002702																																																												2	1	30049					3	2	2				1																																																																																													30049		1100					1
7002703	70027	3					1	99902	3																																																											2	7002703																																																												2	1	30049					3	2	2		1		1			29	101582																																																																																									30049		1100					1
7002801	70028	1					30	50490301	1																																																											2	7002801																																																												2	1	30068					3	1	2				1																																																																																													30068		1100					1
7002802	70028	2					1	7002801	3																																																											20			133223271	1																																																									1	1	Q70026MonsterPos	40				3	2	2				1																																																																																													30049		1100					1
7002803	70028	3					1	7002802	3																																																											2	7002803																																																												2	1	30068					3	2	2		1		1																																																																																													30068		1100					1
7002901	70029	1					30	50490501	1																																																											2	7002901																																																												2	1	30068					3	1	2		1		1																																																																																													30068		1100					1
7003001	70030	1					30	50500108	1																																																											4	7003001																																																												1	1	Q70030PlayerPort	30				3	2	2				1																																																																																													2433		1100					1
7003002	70030	2					1	7003001	3																																																											2	7003001																																																												2	1	2433					3	2	2				1																																																																																													2433		1100					1
7003003	70030	3					1	7003002	3																																																											4	7003003																																																												1	1	Q70030KazuhaStart	25				3	2	2				1																																																																																													1032		1100					1
7003004	70030	4					1	7003003	3																																																											2	7003002																																																												2	1	1032					3	2	2				1																																																															19	3	133104660,1																												1032		1100					1
7003006	70030	6					1	7003004	3																																																											27	7003006																																																												2	1	1032					3	2	2				1																																																															28	7003006					19	3	133104660,1																						1032		1100					1
7003007	70030	7					1	7003006	3																																																											2	7003004																																																												2	1	1032					3	2	2		1		1			19	3	133104660,1																																																																																								1032		1100					1
7003008	70030	8			1		1	7003003	3																																																											4	7003008																																																																			3			1						19	3	133104660,2																																																																																															
7003009	70030	9			1		1	7003006	3																																																											4	7003009																																																																			3			1						19	3	133104660,3																																																																																															
7003010	70030	10			1		1	7003006	3																																																											4	7003010																																																																			3			1						19	3	133104660,2																																																																																															
7003101	70031	1			1		1	35802	3																																																											10	3																																																																						1			1																																																																																																				1
7003102	70031	2			1		1	7003101	3																																																											136	30600	3																																																																					1	1		1																																																																																																				1
7003201	70032	1			1		30	50500101	1																																																											2	7003201																																																												2	1	30069					3	2	2		1		1																																																																																																				1
7003301	70033	1			1		30	50500102	1																																																											2	7003301																																																												2	1	30070					3	2	2		1		1																																																																																																				1
7003401	70034	1			1		30	50500103	1																																																											2	7003401																																																												2	1	30071					3	2	2		1		1																																																																																																				1
7003501	70035	1			1		30	50500104	1																																																											2	7003501																																																												2	1	30072					3	2	2		1		1																																																																																																				1
7003601	70036	1			1		30	50500105	1																																																											2	7003601																																																												2	1	30073					3	2	2		1		1																																																																																																				1
7003701	70037	1			1		30	50500106	1																																																											2	7003701																																																												2	1	30074					3	2	2		1		1																																																																																																				1
7003801	70038	1			1		30	50500107	1																																																											2	7003801																																																												2	1	30075					3	2	2		1		1																																																																																																				1
7003901	70039	1			1		1	7081016	3																																																											18			0,24																																																																					1		1			43	2002901	1																																																																																															1
7010101	70101	8			1		1	99902	3																																																											2	7010102																																																																						1																																																																																																							
7010102	70101	9			1		1	99902	3																																																											20			13300814201	1																											20			13300814202	1																																				1																																				30																														19	3	133008142,2																																			
7010103	70101	3			1		38	7010104																																																												2	7010104																																																																																																																																																																													
7010104	70101	4			1		1	7010103	3																																																											27	7010104																																																																												19	3	133008229,2				19	3	133008280,2				19	3	133008653,2																																														28	7010104																																				
7010105	70101	10			1		1	7010104	3																																																											20			13300813901	1																																																																				1																																																																																																						
7010202	70102	2			1	2	44	10001	1																																																											20			133008003	1																										2	20			133008002	1	20			133008004	1	20			133008005	1																										1						19	3	133008002,2				19	3	133008004,2				19	3	133008005,2																																																																																			
7010203	70102	3			1	2	44	10001	1																																																											20			133008004	1																										2	20			133008002	1	20			133008003	1	20			133008005	1																										1						19	3	133008002,2				19	3	133008003,2				19	3	133008005,2																																																																																			
7010204	70102	4			1	2	44	10001	1																																																											20			133008005	1																										2	20			133008002	1	20			133008003	1	20			133008004	1																										1						19	3	133008002,2				19	3	133008003,2				19	3	133008004,2																																																																																			
7010205	70102	5			1	2	44	10001	1																																																											20			133008002	1																										2	20			133008003	1	20			133008004	1	20			133008005	1																										1						19	3	133008003,2				19	3	133008004,2				19	3	133008005,2																																																																																			
7010206	70102	6				2	1	7010202	3				1	7010203	3				1	7010204	3				1	7010205	3																																									2	7010201																																																												2	1	1665					3	2	2				1																																																																																																				
7010207	70102	7					1	7010206	3																																																											2	7010202																																																												2	1	1667					3	2	2				1																																																																																																				
7010208	70102	8	1				1	7010211	2																																																											20			133008004	1																																																									1	1	Q7010203	70				3	2	2							23	701021101	1																																																																																															
7010209	70102	9	1				1	7010211	2																																																											20			133008005	1																																																									1	1	Q7010204	70				3	2	2							23	701021101	1																																																																																															
7010210	70102	10	1				1	7010211	2																																																											20			133008002	1																																																									1	1	Q7010205	70				3	2	2							23	701021101	1																																																																																															
7010211	70102	11			1	1	1	7010202	3				1	7010207	3																																																					24	701021101			3																																																																			1																																																																		19	3	133008002,1				19	3	133008004,1				19	3	133008005,1																							
7010212	70102	12	2				1	7010215	2																																																											20			133008003	1																																																									1	1	Q7010202	70				3	2	2							23	701021102	1																																																																																															
7010213	70102	13	2				1	7010215	2																																																											20			133008005	1																																																									1	1	Q7010204	70				3	2	2							23	701021102	1																																																																																															
7010214	70102	14	2				1	7010215	2																																																											20			133008002	1																																																									1	1	Q7010205	70				3	2	2							23	701021102	1																																																																																															
7010215	70102	15			1	1	1	7010203	3				1	7010207	3																																																					24	701021102			3																																																																			1																																																																		19	3	133008002,1				19	3	133008003,1				19	3	133008005,1																							
7010216	70102	16	3				1	7010219	2																																																											20			133008004	1																																																									1	1	Q7010203	70				3	2	2							23	701021103	1																																																																																															
7010217	70102	17	3				1	7010219	2																																																											20			133008003	1																																																									1	1	Q7010202	70				3	2	2							23	701021103	1																																																																																															
7010218	70102	18	3				1	7010219	2																																																											20			133008002	1																																																									1	1	Q7010205	70				3	2	2							23	701021103	1																																																																																															
7010219	70102	19			1	1	1	7010204	3				1	7010207	3																																																					24	701021103			3																																																																			1																																																																		19	3	133008002,1				19	3	133008004,1				19	3	133008003,1																							
7010220	70102	20	4				1	7010223	2																																																											20			133008004	1																																																									1	1	Q7010203	70				3	2	2							23	701021104	1																																																																																															
7010221	70102	21	4				1	7010223	2																																																											20			133008005	1																																																									1	1	Q7010204	70				3	2	2							23	701021104	1																																																																																															
7010222	70102	22	4				1	7010223	2																																																											20			133008003	1																																																									1	1	Q7010202	70				3	2	2							23	701021104	1																																																																																															
7010223	70102	23			1	1	1	7010205	3				1	7010207	3																																																					24	701021104			3																																																																			1																																																																		19	3	133008003,1				19	3	133008004,1				19	3	133008005,1																							
7010224	70102	27				1	1	7010235	3				1	7010237	3				1	7010238	3																																															2	7010203																																																												2	1	1667					3	2	2				1			1	100618	3																																																																																															
7010225	70102	29					1	7010239	3																																																											7	133008009																																																												1	1	Q7010205	50				3	2	2				1																																																															19	3	133008009,2																																			
7010226	70102	1			1	2	53	701022601																																																												20			701022602	1																																																																						1																																																																																																				
7010227	70102	30					1	7010225	3																																																											27	7010227																																																												2	1	20173					3	2	2				1																																																															28	7010227					19	3	133008011,1																													
7010228	70102	32					1	7010236	3																																																											20			133008010	1																											20			13300801002	1																																							1			15	3	133008348																												14	7010236																													15	3	133008010				19	3	133008009,1				15	3	133008348				19	3	133008011,2																	
7010229	70102	33					1	7010228	3																																																											20			133008018	1																																																									2	1	20173					3	2	2				1	100619	1																																																													19	3	133008018,2																																			
7010230	70102	35					1	7010234	3																																																											27	7010230																																																												2	1	1667					3	2	2				1			15	3	133008445																																																										28	7010230																																				
7010232	70102	36					1	7010230	3																																																											2	7010209																																																												2	1	1667					3	2	2		1		1			19	3	133008011,1				15	3	133008445																																																																																									
7010234	70102	34			1		1	7010229	3																																																											2	7010210																																																																									1																																																																																																				
7010235	70102	26			1		1	7010207	3																																																										2	5	100618			4																																																																						1																																																																																																				
7010236	70102	31					1	7010227	3																																																											2	7010211																																																												2	1	20173					3	2	2				1																																																															19	3	133008011,1																																			
7010237	70102	24	5				1	7010207	3																																																											5	101006			50																																																																																																																																																																										
7010238	70102	25	6				1	7010207	3																																																											5	101105			1																																																																																																																																																																										
7010239	70102	28					1	7010224	3																																																											20			133008367	1																																																									1	1	Q7010205	50				3	2	2				1			19	3	133008367,1																																																										19	3	133008367,2																																			
7010401	70104	1				4	38	7010401					1	7014112	3				1	7014118	3																																															2	7010401																																																																									1																																																																																													1666							
7010402	70104	2	3				1	7010401	3																																																											20			7010402	4																																																									1	1	Q70104_GET	80				3	2	2																																																																			19	3	133008068,2				19	3	133008067,2				19	3	133008066,2				19	3	133008069,2										1666							
